label,sign,accuracy_base,n_val,accuracy_me126,delta
162,orange,0.8461538461538461,39,0.9230769230769232,0.0769230769230771
221,tomorrow,0.8461538461538461,39,0.8205128205128205,-0.02564102564102566
110,head,0.8461538461538461,39,0.8717948717948718,0.02564102564102566
230,up,0.8461538461538461,39,0.8205128205128205,-0.02564102564102566
145,mom,0.85,40,0.825,-0.025000000000000022
23,bird,0.85,40,0.875,0.025000000000000022
90,frog,0.85,40,0.875,0.025000000000000022
16,because,0.85,40,0.9,0.050000000000000044
19,bee,0.85,40,0.825,-0.025000000000000022
106,hat,0.8529411764705882,34,0.8823529411764706,0.02941176470588236
228,uncle,0.8536585365853658,41,0.902439024390244,0.0487804878048782
60,donkey,0.8536585365853658,41,1.0,0.14634146341463417
17,bed,0.8571428571428571,35,0.8285714285714286,-0.02857142857142847
88,for,0.868421052631579,38,0.8947368421052632,0.02631578947368418
104,hair,0.868421052631579,38,0.9210526315789472,0.05263157894736825
234,water,0.868421052631579,38,0.8947368421052632,0.02631578947368418
54,cute,0.868421052631579,38,0.8157894736842105,-0.052631578947368474
47,closet,0.8717948717948718,39,0.8717948717948718,0.0
219,tiger,0.8717948717948718,39,0.8717948717948718,0.0
25,blow,0.8717948717948718,39,0.8974358974358975,0.02564102564102566
68,ear,0.8717948717948718,39,0.8461538461538461,-0.02564102564102566
86,flower,0.875,40,0.9,0.025000000000000022
63,drink,0.875,40,0.925,0.050000000000000044
83,first,0.875,40,0.875,0.0
34,callonphone,0.8947368421052632,38,0.868421052631579,-0.02631578947368418
133,lion,0.8974358974358975,39,0.8717948717948718,-0.02564102564102566
10,aunt,0.8974358974358975,39,0.9230769230769232,0.025641025641025772
50,cow,0.9,40,0.9,0.0
165,owl,0.9,40,0.9,0.0
118,home,0.9,40,0.9,0.0
51,cowboy,0.9210526315789472,38,0.8947368421052632,-0.02631578947368407
198,sick,0.9210526315789472,38,0.9473684210526316,0.026315789473684403
32,bug,0.9230769230769232,39,0.9230769230769232,0.0
194,shhh,0.926829268292683,41,0.975609756097561,0.04878048780487798
209,stuck,0.9428571428571428,35,0.8857142857142857,-0.05714285714285716
